id,name,sku,description,price,special_price,erpstock_label,manufacturer_label,Processeur,Système d'exploitation,Mémoire RAM,Disque Dur,Carte mère,Carte Graphique,Dimensions,Garantie,Couleur
63764,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 8G 256Go SSD - Gris,F0J6005PFG,"Écran 23.8"" Full HD, IPS - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 256Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 2.0, 2x USB-A 3.2 Gen 2, 1x sortie HDMI® 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Gris nuage - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1099,,En stock,LENOVO,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",FreeDos,8 Go DDR4,256Go SSD,,Intel UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Gris nuage
69414,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 8G 256G SSD - Gris,F0J6005PFG-W11P,"Écran 23.8"" Full HD, IPS - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 256Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 2.0, 2x USB-A 3.2 Gen 2, 1x sortie HDMI® 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Gris nuage - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1159,,En stock,LENOVO,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",Windows 11 Pro,8 Go DDR4,256Go SSD,,Intel UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Gris nuage
64093,PC de Bureau ALL IN ONE LENOVO V100 Intel N100 8G 512Go SSD - Noir,13BE000HFM,"Écran 23.8"" Full HD, IPS - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 512Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 2.0, 2x USB-A 3.2 Gen 2, 1x sortie HDMI® 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Noir - Garantie: 2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1199,,En stock,LENOVO,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",FreeDos,8 Go DDR4,512Go SSD,,Intel UHD Graphics avec Wi,,2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Noir
67584,PC de Bureau ALL IN ONE HP 22-dg0008nk Intel N100 8Go 256Go SSD - Blanc,A2AS8EA,"PC tout en un HP 22-dg0008nk - Écran 21.45"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5 - Disque Dur: 256 Go SSD - Carte graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 2x USB 2.0 Type-A, 1 sortie HDMI 1.4, 1x RJ-45, 1 prise combinée casque/microphone - Couleur: Blanc - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1329,,En stock,HP,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",FreeDos,8 Go DDR5,256 Go SSD,,Intel UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Blanc
64098,PC de Bureau ALL IN ONE LENOVO V100 Intel N100 16G 512Go SSD - Noir,13BE000HFM-16G,"Écran 23.8"" Full HD, IPS - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go DDR4-3200 - Disque Dur: 512Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 2.0, 2x USB-A 3.2 Gen 2, 1x sortie HDMI® 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Noir - Garantie: 2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1349,,En arrivage,LENOVO,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",FreeDos,16 Go DDR4,512Go SSD,,Intel UHD Graphics avec Wi,,2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Noir
67788,PC de Bureau ALL IN ONE HP 22-dg0008nk Intel N100 8G 256Go SSD - Blanc,A2AS8EA-W11P,"PC tout en un HP 22-dg0008nk - Écran 21.45"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go DDR5 - Disque Dur: 256 Go SSD - Carte graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 2x USB 2.0 Type-A, 1 sortie HDMI 1.4, 1x RJ-45, 1 prise combinée casque/microphone - Couleur: Blanc - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1389,,Epuisé,HP,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",Windows 11 Pro,8 Go DDR5,256 Go SSD,,Intel UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Blanc
60834,PC de Bureau ALL IN ONE LENOVO ThinkCentre neo 50a 27 Gen5 i3 13è Gén 8G 512G SSD,12SA0008FM,"Écran 27"" Full HD, IPS - Processeur: Intel Core i3-1315U (Up to 4.50 GHz Turbo max , 10 Mo de mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5-5200 - Disque Dur: 512Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB-A 3.2 Gen 2, 2x USB-A 2.0, 1x USB-C® 3.2 Gen 2, 1x entrée HDMI® 1.4, 1x sortie HDMI® 2.1 TMDS, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Gris Luna - Garantie: 2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1869,,En arrivage,LENOVO,Intel Core i3,FreeDos,8 Go DDR5,512Go SSD,,Intel UHD Graphics avec Wi,,2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Gris Luna
68363,PC de Bureau ALL IN ONE LENOVO IdeaCentre AIO 24IRH9 i5 13èm Gén 8G 512G SSD,F0HN00V6FG,"Écran 23.8"" Full HD, IPS - Processeur: Intel Core i5-13420H (Up to 4.60 GHz Turbo max , 12 Mo de mémoire cache, Octa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5 - Disque Dur: 512Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB-A 3.2 Gen 2, 2x USB-A 2.0, 1x USB-C 3.2 Gen 2, 1x entrée HDMI 1.4, 1x sortie HDMI® 2.1 TMDS, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1985,,En stock,LENOVO,Intel Core i5,FreeDos,8 Go DDR5,512Go SSD,,Intel UHD Graphics avec Wi,,1an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Gris
68355,PC de Bureau ALL IN ONE LENOVO IdeaCentre AIO 24IRH9 i5 13è Gén 8Go 512G SSD,F0HN00V7FG,"Écran 23.8"" Full HD, IPS - Processeur: Intel Core i5-13420H (Up to 4.60 GHz Turbo max , 12 Mo de mémoire cache, Octa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5-5200 - Disque Dur: 512Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB-A 3.2 Gen 2, 2x USB-A 2.0, 1x USB-C 3.2 Gen 2, 1x entrée HDMI 1.4, 1x sortie HDMI® 2.1 TMDS, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",2129,,En stock,LENOVO,Intel Core i5,FreeDos,8 Go DDR5,512Go SSD,,Intel UHD Graphics avec Wi,,1an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Gris
69205,PC de Bureau ALL IN ONE ASUS V470VA i5 13è Gén 16Go 1To SSD - Blanc,V470VAK-WPE1120,"Écran 27"" Full HD - Processeur: Intel Core i5-13420H (Up to 4.60 GHz Turbo max , 12 Mo de mémoire cache, Octa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go DDR5 - Disque Dur: 1To SSD - Carte Graphique: Intel® UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0 Type-A, 3x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 1x entrée HDMI 1.4, 1x sortie HDMI 1.41x RJ45, 1x entrée CC, 1 prise audio combo 3,5 mm - Couleur: Blanc - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",2199,,Epuisé,ASUS,Intel Core i5,FreeDos,16 Go DDR5,1To SSD,,Intel® UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Blanc
