id,name,sku,description,price,special_price,erpstock_label,manufacturer_label,Processeur,Système d'exploitation,Mémoire RAM,Disque Dur,Carte mère,Carte Graphique,Dimensions,Garantie,Couleur
69150,PC Portable ASUS Vivobook 15 M1502YA AMD RYZEN7 8Go 512G SSD - Bleu,M1502YA-BQ578W,"Écran 15.6"" Full HD - Processeur: AMD Ryzen™ 7 5825U ( 2 GHz up to 4.5 GHz Turbo max , 16 Mo de mémoire cache, Octa-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: AMD Radeon™ Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x Prise audio combinée 3.5mm - Clavier Chiclet - Couleur: Bleu - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1499,,En stock,ASUS,"AMD Ryzen™ 7 5825U ( 2 GHz up to 4.5 GHz Turbo max , 16 Mo de mémoire cache, Octa",Windows 11 Famille,8 Go DDR4,512 Go SSD,,AMD Radeon™ Graphics avec Wi,,1 an Retrait en Magasin ou Livraison Gratuite *,Bleu
66364,PC Portable DELL 15 i5 13è Gén 12Go 512Go SSD - Noir,DC15250-I5-12G,"Écran 15.6"" Full HD IPS, 120Hz - Processeur: Intel Core i5-1334U (Up to 4.60 GHz Turbo max , 12Mo de mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 12 Go - Disque dur: 512 Go SSD - Carte graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, USB 3.2 Gen 1, USB 2.0, 1x HDMI 1.4, 1 port audio universel et Lecteur de carte SD - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1519,,En arrivage,DELL,Intel Core i5,FreeDos,12 Go,512 Go SSD,,Intel UHD Graphics avec Wi,,1 an Retrait en Magasin ou Livraison Gratuite *,Noir
68085,PC Portable DELL Pro 15 Essential i5 13è Gén 8Go 512Go SSD - Noir,PV15250-I5,"Écran 15.6"" Full HD IPS, 120Hz - Processeur: Intel Core i5-1334U (Up to 4.60 GHz Turbo max , 12Mo de mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5 - Disque dur: 512 Go SSD - Carte graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1 port audio universel et Lecteur de carte SD - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1639,1519.0,En stock,DELL,Intel Core i5,FreeDos,8 Go DDR5,512 Go SSD,,Intel UHD Graphics avec Wi,,1 an Retrait en Magasin ou Livraison Gratuite *,Noir
58263,Pc Portable DELL Vostro 3530 i5 13è Gén 8G 512Go SSD - Noir,N3409PVNB3530,"Écran 15.6"" Full HD, 120Hz - Processeur: Intel Core i5-1334U (Up to 4.60 GHz Turbo max , 12 Mo de mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque dur: 512 Go SSD - Carte graphique: Intel® UHD Graphics avec WiFi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4, 1x RJ-45, 1x Prise jack pour casque, Lecteur de carte mémoire SD 3.0, Prise jack d’alimentation - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1529,,En stock,DELL,Intel Core i5,FreeDos,8 Go,512 Go SSD,,"Intel® UHD Graphics avec WiFi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB",,1 an Retrait en Magasin ou Livraison Gratuite *,Noir
66038,PC Portable DELL 16 Intel Core 5 120U 8Go 512Go SSD - Noir,DC16250-C5,"Écran 16"" WUXGA IPS - Processeur: Intel Core 5 120U (Up to 5 GHz Turbo max , 12Mo de mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque dur: 512 Go SSD - Carte graphique: Intel® Graphics avec Wi-Fi, Bluetooth, 2x USB-A 3.2 Gen 1, 1x USB-C 3.2 Gen 2, 1x HDMI 1.4, 1 prise jack audio universelle, 1 prise jack d’alimentation - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1529,,En stock,DELL,"Intel Core 5 120U (Up to 5 GHz Turbo max , 12Mo de mémoire cache, 10",FreeDos,8 Go,512 Go SSD,,Intel® Graphics avec Wi,,1 an Retrait en Magasin ou Livraison Gratuite *,Noir
66917,PC Portable LENOVO IdeaPad Slim 3 15AMN8 AMD RYZEN 5 16G 512G SSD - Gris,82XQ00M7FG-W11P,"Écran 15.6"" Full HD - Processeur: AMD Ryzen™ 5 7520U ( 2.8 GHz up to 4.3 GHz Turbo max , 4 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 16 Go LPDDR5 - Disque Dur: 512 Go SSD - Carte Graphique: AMD Radeon™ 610M intégrée avec Wi-Fi, Bluetooth, 2x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4, 1x prise combo casque / microphone (3,5 mm) et Lecteur de carte - Couleur: Gris arctique - Garantie: 2 ans +  Sacoche Lenovo T210 Retrait en Magasin ou Livraison Gratuite *",1529,,En arrivage,LENOVO,"AMD Ryzen™ 5 7520U ( 2.8 GHz up to 4.3 GHz Turbo max , 4 Mo de mémoire cache, Quad",Windows 11 Pro,16 Go LPDDR5,512 Go SSD,,AMD Radeon™ 610M intégrée avec Wi,,2 ans +  Sacoche Lenovo T210 Retrait en Magasin ou Livraison Gratuite *,Gris arctique
68003,PC Portable LENOVO V15 G5 IRL i3 13è Gén 8G 512Go SSD - Noir,83GW007CFE-W11P,"Écran 15.6"" Full HD - Processeur: Intel Core i3-1315U (Up to 4.50 GHz Turbo max , 10 Mo de mémoire cache, Hexa-Core ) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go DDR5 - Disque Dur: 512 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI® 1.4b, 1x RJ-45, 1 prise combo casque/microphone (3,5 mm) - Couleur: Noir - Garantie: 2 ans + Sacoche Lenovo T210 Retrait en Magasin ou Livraison Gratuite *",1539,,En stock,LENOVO,Intel Core i3,Windows 11 Pro,8 Go DDR5,512 Go SSD,,Intel UHD Graphics avec Wi,,2 ans + Sacoche Lenovo T210 Retrait en Magasin ou Livraison Gratuite *,Noir
69381,PC Portable ASUS Vivobook 15 M1502YA AMD RYZEN7 12Go 512G SSD - Silver,M1502YA-BQ652W-12G,"Écran 15.6"" Full HD - Processeur: AMD Ryzen™ 7 5825U ( 2 GHz up to 4.5 GHz Turbo max , 16 Mo de mémoire cache, Octa-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 12 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: AMD Radeon™ Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x Prise audio combinée 3.5mm - Clavier Chiclet - Couleur: Silver - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1565,,En arrivage,ASUS,"AMD Ryzen™ 7 5825U ( 2 GHz up to 4.5 GHz Turbo max , 16 Mo de mémoire cache, Octa",Windows 11 Famille,12 Go DDR4,512 Go SSD,,AMD Radeon™ Graphics avec Wi,,1 an Retrait en Magasin ou Livraison Gratuite *,Silver
65599,PC Portable DELL 15 i5 13è Gén 16Go 512Go SSD - Noir,DC15250-I5-16G,"Écran 15.6"" Full HD IPS, 120Hz - Processeur: Intel Core i5-1334U (Up to 4.60 GHz Turbo max , 12Mo de mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go - Disque dur: 512 Go SSD - Carte graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, USB 3.2 Gen 1, USB 2.0, 1x HDMI 1.4, 1 port audio universel et Lecteur de carte SD - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1569,,En arrivage,DELL,Intel Core i5,FreeDos,16 Go,512 Go SSD,,Intel UHD Graphics avec Wi,,1 an Retrait en Magasin ou Livraison Gratuite *,Noir
69155,PC Portable ASUS Vivobook 15 M1502YA AMD RYZEN7 12Go 512G SSD - Bleu,M1502YA-BQ578W-12G,"Écran 15.6"" Full HD - Processeur: AMD Ryzen™ 7 5825U ( 2 GHz up to 4.5 GHz Turbo max , 16 Mo de mémoire cache, Octa-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 12 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: AMD Radeon™ Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x Prise audio combinée 3.5mm - Clavier Chiclet - Couleur: Bleu - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1579,,En arrivage,ASUS,"AMD Ryzen™ 7 5825U ( 2 GHz up to 4.5 GHz Turbo max , 16 Mo de mémoire cache, Octa",Windows 11 Famille,12 Go DDR4,512 Go SSD,,AMD Radeon™ Graphics avec Wi,,1 an Retrait en Magasin ou Livraison Gratuite *,Bleu
