id,name,sku,description,price,special_price,erpstock_label,manufacturer_label
68058,"Ecran REDRAGON Thugga II 21.5"" Full HD 100Hz",BM21V17,"Écran REDRAGON Thugga II - Taille de l'ecran: 21.5"" FULL HD, 100Hz - Résolution: 1920 x 1080 pixels - Contraste: élevé - Type de dalle : VA - Montage VESA: 75 x 75 mm - Angle de vision: larges - Connecteurs: HDMI, VGA - Design ergonomique avec possibilité d’ajuster l’inclinaison de l’écran selon vos préférences - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",249,209.0,En stock,REDRAGON
57116,"Ecran MSI PRO MP223 E2 21,45"" Full HD 100 Hz",MP223-E2,"Ecran MSI PRO MP223 E2 - Taille de l'ecran: 21.45"" Full HD, 100 Hz - Résolution: 1920 x 1080 pixels - Format: 16:9 - Luminosité: 250 cd/m² - Contraste: 3000:1 - Temps de réponse: 1 ms (MPRT) / 4 ms (GTG) - Type de dalle: VA - Rafraîchissement dynamique: Adaptive Sync - Gamme de couleurs: 99 % s RGB - Angle de vision: 178°(H) / 178°(V) - Inclinaison: -5° ~ 20° - Montage VESA: 75 x 75 mm - Connecteurs: 1x HDMI™ 1.4b, 1x DisplayPort 1.2a - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",229,,Epuisé,MSI
68177,"Ecran MSI PRO MP225V 21,45"" Full HD 100 Hz",MP225V,"Ecran MSI PRO MP225V - Taille de l'ecran: 21.45"" Full HD, 100 Hz - Résolution: 1920 x 1080 pixels - Format: 16:9 - Luminosité: 300 cd/m² - Contraste: 4000:1 - Temps de réponse: 1 ms (MPRT) / 4 ms (GTG) - Type de dalle: VA - Technologie de taux de rafraîchissement dynamique: Adaptive Sync - Gamme de couleurs: 100 % s RGB - Angle de vision: 178°(H) / 178°(V) - Inclinaison: -5° ~ 20° - Montage VESA: 100 x 100 mm - Connecteurs: 1x HDMI™ (1.4b), 1x D-Sub (VGA) - Avec câble HDMI - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",229,,En stock,MSI
58313,Ecran SAMSUNG S30GD 21.5'' Full HD IPS 100Hz,LS22D300G,"Écran SAMSUNG S30GD - Taille de l'ecran: 21.5"" Full HD, 100Hz - Resolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Luminosité: 250 cd/m² - Rapport de contraste: 1000:1 (typique) - Temps de réponse: 5 ms (GTG) - Type de dalle: IPS - Angle de vision: 178° H /178° V - Inclinaison: -2.0˚( ±2.0˚)~21.0˚( ±2.0˚) - Compatibilité VESA: 100 x 100 - Connecteurs: 1x HDMI 1.4, 1x VGA - Avec Câble HDMI - Flicker Free - Dimensions: 489.9 x 400.0 x 175.1 mm - Poids: 2.1 kg - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",299,239.0,En stock,SAMSUNG
69138,Ecran AERO PRO AE24EFA 23.8'' Full HD IPS 100Hz,AE24EFA,"Écran AERO PRO AE24EFA - Taille de l'écran: 23.8"" Full HD, 100 Hz - Résolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Rapport de contraste: 3000:1 - Luminosité: 300 cd/m² - Temps de réponse: 5 ms (GTG) - Type de dalle: IPS - Angle de vision: 178° H /178° V - Montage VESA: 75 x 75 mm - Haut-parleur: Oui (2x 3 W) - Technologie AMD FreeSync™ - HDR - Connecteurs: HDMI, DisplayPort - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",239,,En stock,AERO
66715,Ecran ASUS VP229HF 21.45'' Full HD IPS 100 Hz,VP229HF,"Écran ASUS VP229HF - Taille de l'écran: 21.45"" Full HD, 100 Hz - Résolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Rapport de contraste: 1000:1 - Type de dalle: IPS - Gamme de couleurs: 99% sRGB - Luminosité: 250 cd/m² - Temps de réponse: 1 ms (MPRT) - Angle de vue (H / V): 178° /178° - Inclinaison: +23° ~ -5° - Montage mural VESA: 100 x 100 mm - Connecteurs: 1x HDMI (v1.4), 1x VGA, Prise casque - Avec Câble HDMI - Technologie Adaptive-Sync - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",249,,En stock,ASUS
66703,Ecran LG Pro 22MR410 21.45'' Full HD 100Hz ,22MR410,"Écran LG Pro 22MR410 - Taille de l'écran: 21.45"" Full HD, 100Hz - Résolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Rapport de contraste: 3000:1 - Luminosité: 250 cd/m² - Temps de réponse: 5ms (GtG) - Type de dalle: VA - Espace colorimétrique: sRGB 99% (CIE1931) - Profondeur de couleur: 16,7 millions - Angle de vue (H / V): 178° /178° - Montage mural: 100 x 100 mm - Technologie AMD FreeSync™ - Connecteurs: 1x HDMI, 1x VGA - Avec Câble HDMI - Dimensions: 491.9 x 378.1 x 200 mm - Poids: 2.46 kg - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",255,,En stock,LG
68055,"Ecran REDRAGON Vaga III 23.8"" Full HD IPS 120Hz",BM24V9-120HZ,"Écran REDRAGON Vaga III - Taille de l'ecran: 23.8"" FULL HD, 120Hz - Résolution: 1920 x 1080 pixels - Luminosité: 250 cd/m² - Temps de réponse: 5 ms - Taux de Contraste: 1000:1 - Type de dalle : IPS - Angle de vision: 178° H /178° V - Connecteurs: HDMI, VGA - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",259,,En stock,REDRAGON
68732,Ecran UNIVIEW MW-LC24-T 24'' Full HD 144Hz,MW-LC24-T,"Écran UNIVIEW MW-LC24-T - Taille de l'écran: 24"" Full HD, 144Hz - Résolution: 1920 x 1080 pixels - Luminosité: 250 cd/m² - Contraste: 3000:1 - Temps de réponse: 1 ms - Type de dalle: VA - Angle de vision: 178°(H) / 178°(V) - Montage VESA: 75 x 75 mm - Connecteurs: HDMI, DisplayPort - Avec câble HDMI - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",265,,En stock,UNIVIEW
69125,Ecran Gaming AERO AE24EFI 23.8'' Full HD IPS 144Hz,AE24EFI,"Écran Gaming AERO AE24EFI - Taille de l'écran: 23.8"" Full HD, 144 Hz - Résolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Rapport de contraste: 1000:1 - Luminosité: 300 cd/m² - Temps de réponse: 1 ms (MPRT) - Type de dalle: IPS - Angle de vision: 178° H /178° V - Montage VESA: 75 x 75 mm - Haut-parleur: Oui (2x 3 W) - Technologie AMD FreeSync™ - HDR - Connecteurs: HDMI, DisplayPort - Couleur: Noir - Garantie: 1 an Livraison Gratuite à partir de 300DT d'Achat",269,,En stock,AERO
