id,name,sku,description,price,special_price,erpstock_label,manufacturer_label
68717,"Ecran Gaming REDRAGON Mirror III 27"" Full HD IPS 200 Hz",GM27X5IPS-200HZ,"Écran Gaming REDRAGON Mirror III - Taille de l'écran 27"" FULL HD, 200 Hz - Résolution : 1920 x 1080 pixels - Temps de réponse: 1 ms - GTG 5 ms (avec OD) - Taux de contraste: 1000:1 - Type de dalle : IPS - Angle de vision: 178° H /178° V - Technologie AMD FreeSync - Connecteurs: HDMI, DisplayPort - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",419,,En stock,REDRAGON
68562,Ecran MSI PRO MP275W E2 27'' Full HD IPS 120 Hz,MP275W-E2,"Ecran MSI PRO MP275W E2 - Taille de l'ecran: 27"" Full HD, 120 Hz - Résolution: 1920 x 1080 pixels - Format: 16:9 - Luminosité: 300 cd/m² - Contraste: 1500:1 - Temps de réponse: 1 ms (MPRT) / 4 ms (GTG) - Type de dalle: IPS - Gamme de couleurs: 116% sRGB - Prêt pour le HDR - Angle de vision: 178°(H) / 178°(V) - Inclinaison: -5° ~ 20° - Montage VESA: 100 x 100 mm - 2x Haut-parleurs 2W - Connecteurs: 1x HDMI™ 2.0, 1x DisplayPort (1.2a), 1x D-Sub (VGA) - Couleur: Blanc - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",479,419,En stock,MSI
55119,Ecran Gaming AERO QG25DFA 24.5'' Full HD 240Hz,QG25DFA,"Écran Gaming AERO QG25DFA - Taille de l'écran: 24.5"" Full HD, 240 Hz - Résolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Rapport de contraste: 3000:1 - Luminosité: 350 cd/m² - Temps de réponse: 1 ms (MPRT) - Type de dalle: VA - Prise en charge des couleurs: 16.7M - Angle de vision: 178° H /178° V - Connecteurs: HDMI, DisplayPort - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",439,,En stock,AERO
61905,Ecran DELL E2425HSM 23.8'' Full HD IPS 100Hz ,E2425HSM,"Ecran DELL E2425HSM - Taille de l'ecran 23.8"" Full HD,100 Hz - Résolution: 1920 x 1080 pixels - Luminosité: 250 cd/m² - Temps de réponse: 5 ms GTG (rapide) / 8ms GTG - Taux de contraste: 1,000:1 - Type de panneau: IPS - Angle de vision: 178°(H) / 178°(V) - Angle d'inclinaison: - 5°/+21° - Pivotement: (+173° ~ -173°) - Pivot: (+90° ~ -90°) - Réglage en hauteur: 130 mm - Montage VESA: 100 x 100 mm - Connecteurs: 1x HDMI, 1x DisplayPort , 1x VGA - Avec Câble HDMI - 2x Haut-parleurs 2W - Couleur: Noir - Garantie: 3 ans Retrait en Magasin ou Livraison Gratuite *",439,,En stock,DELL
55113,Ecran DELL S2425H 23.8'' Full HD IPS 100 Hz,S2425H,"Ecran DELL S2425H - Taille de l'écran 23.8"" FULL HD, IPS 100 Hz - Résolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Luminosité: 250 cd/m² - Temps de réponse: 8 ms (mode normal) / 5 ms (mode rapide) / 4 ms (mode extrême) - Rapport de contraste: 1500: 1 - Angle de vision: 178° H /178° V - Angle d'inclinaison: -5 ° /+21 ° - Montage mural VESA: 100 mm - Connecteurs: 2 x HDMI - Avec Câble HDMI - Haut-parleurs 2 x 5 W intégrés - Couleur: Silver - Garantie: 3 ans Retrait en Magasin ou Livraison Gratuite *",459,,En stock,DELL
61923,Ecran DELL SE2725HM 27'' Full HD IPS 100Hz ,SE2725HM,"Ecran DELL SE2725HM - Taille de l'ecran 27"" Full HD,100 Hz - Résolution: 1920 x 1080 pixels - Luminosité: 250 cd/m² - Temps de réponse: 5 ms GTG (rapide) / 8ms GTG - Taux de contraste: 1,000:1 - Type de panneau: IPS - Angle de vision: 178°(H) / 178°(V) - Angle d'inclinaison: - 5°/+21° - Montage VESA: 100 x 100 mm - Connecteurs: 1x HDMI, 1x VGA - Avec Câble HDMI - Couleur: Noir - Garantie: 3 ans Retrait en Magasin ou Livraison Gratuite *",459,,En stock,DELL
68195,"Ecran ASUS TUF GAMING VG249QM5A 23.8"" Full HD FAST IPS 240 Hz",VG249QM5A,"Ecran Asus TUF GAMING VG249QM5A - Taille de l'ecran: 23.8"" Full HD, 240 Hz - Résolution: 1920 x 1080 pixels - Format: 16:9 - Luminosité: 300 cd/m² - Contraste: 1000:1 - Temps de réponse: 1 ms (GTG) / 0,3 ms (min) - Type de dalle: Fast IPS - Gamme de couleurs: 99 % sRGB - Angle de vision: 178°(H) / 178°(V) - Inclinaison: +23° ~ -5° - 2x Haut-parleurs 2W - Montage VESA: 100 x 100 mm - Technologie Adaptive-Sync - Connecteurs: 2x HDMI 2.0, 1x DisplayPort (1.4) - Couleur: Noir - Garantie: 1an Retrait en Magasin ou Livraison Gratuite *",459,,En stock,ASUS
48859,Ecran Gaming COOLER MASTER GA2711 27'' 2K IPS 100Hz,GA2711,"Écran Gaming COOLER MASTER GA2711 - FLAT - Taille de l'écran: 27"" 2K QHD, 100 Hz - Résolution: 2560 x 1440 pixels - Format d'écran: 16:9 - Rapport de contraste: 1300:1 - Luminosité: 250 cd/m² - Temps de réponse: 1 ms (MPRT), 4 ms (GtG) - Type de dalle: IPS - Angle de vue (H / V): 178° /178° - Gamme de couleurs: DCI-P3 75 % (Typ., CIE 1976), Adobe RVB 78 % (Typ., CIE 1931), sRGB 99 % (Typ., CIE 1931) - Inclinaison: -5°~+20° - Montage VESA: 100 x 100 mm - Technologie VRR: Synchronisation adaptative / Technologie Overdrive: oui - Connecteurs: 2x HDMI 2.0, 1x DisplayPort 1.4, 1x Sortie audio 3,5 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",499,469,En stock,COOLER-MASTER
62067,Ecran Gaming MSI MAG 272F 27'' Full HD Fast IPS 200Hz,MAG-272F,"Écran Gaming MSI MAG 272F - Taille de l'écran: 27"" Full HD, 200 Hz - Résolution: 1920 x 1080 pixels - Courbure: Plat - Format d'écran: 16:9 - Rapport de contraste: 1000:1 - Luminosité: 300 cd/m² -  Temps de réponse: 0,5 ms (GtG, min) - Type de dalle: Fast IPS - Angle de vue (H / V): 178° /178° - Inclinaison: -5° ~ 20° - Montage VESA: 100 x 100 mm - Technologie AMD FreeSync™ Premium - Prêt pour le HDR - Connecteurs: 1x HDMI™ 2.0b, 1x DisplayPort 1.2a, 1x sortie casque - Avec Câble HDMI - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",589,469,En stock,MSI
66501,Ecran Gaming LENOVO Legion R27s 27'' Full HD IPS 144 Hz,68CCGAC1EU,"Écran Gaming LENOVO Legion R27s - Taille de l'écran: 27"" Full HD, 144 Hz - Résolution: 1920 x 1080 pixels - Format d'écran: 16:9 - Rapport de contraste: 1500:1 - Luminosité: 250 cd/m² - Temps de réponse: 1 ms (MPRT) / 4 ms (Niveau 4) / 6 ms (Niveau 3) / 8 ms (Niveau 2) / 10 ms (Niveau 1) - Type de dalle: IPS - Angle de vision: 178° H /178° V - Inclinable - Montage VESA: 100 x 100 mm - Technologie de synchronisation: VESA Media Sync - Connecteurs: 1x HDMI® 2.1 TMDS, 1x DisplayPort 1.2 - Avec Câble DisplayPort - Couleur: Noir - Garantie: 3 ans Retrait en Magasin ou Livraison Gratuite *",469,,En stock,LENOVO
