id,name,sku,description,price,special_price,erpstock_label,manufacturer_label
68886,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go RTX 3050 6Go,ARCANE-3600-6G3050,"Processeur: AMD Ryzen™ 5 3600 ( 3,6 GHz up to 4,2 GHz Turbo max , 32Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8Go ) DDR4 UDIMM 3200Mhz CL22 - Disque Dur: MSI SSD SPATIUM M371 M.2 NVME Gen3x4 500Go R2200-W1150 - Carte mère: ASUS PRIME A520M-R AM4 - Carte graphique: ZOTAC GAMING GeForce RTX 3050 6GB GDDR6 Twin Edge OC - Boîtier Gamer MAG FORGE M100A / Micro-ATX / 4 ventilo Auto RGB - Alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1769,,Sur commande 48h,MYTEK
69658,Pc de Bureau Gamer MYTEK i3 13è Gén 16Go RTX 3050 6G ,TWILIGHT-13100-6G3050,"Processeur: Intel Core i3-13100 (Up to 4.50 GHz Turbo max , 12Mo Mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) DDR4 3200Mhz - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: ZOTAC GAMING GeForce RTX 3050 6 Go GDDR6 Twin Edge OC - Refroidisseur CPU: DEEPCOOL AIR-COOLER AG200 LGA1700/AM5 TDP 100W - Boîtier GAMER CROWN RGB RED avec Bloc d'alimentation 600W - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1899,1769,Epuisé,MYTEK
68888,Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go RTX 3050 6Go,ARCANE-3600-6G3050-32G,"Processeur: AMD Ryzen™ 5 3600 ( 3,6 GHz up to 4,2 GHz Turbo max , 32Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16Go ) DDR4 UDIMM 3200Mhz CL22 - Disque Dur: MSI SSD SPATIUM M371 M.2 NVME Gen3x4 500Go R2200-W1150 - Carte mère: ASUS PRIME A520M-R AM4 - Carte graphique: ZOTAC GAMING GeForce RTX 3050 6GB GDDR6 Twin Edge OC - Boîtier Gamer MAG FORGE M100A / Micro-ATX / 4 ventilo Auto RGB - Alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2039,,Sur commande 48h,MYTEK
65815,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go RTX 5050 8Go,VIKING-3600-5050,"Processeur: AMD Ryzen™ 5 3600 ( 3,6 GHz up to 4,2 GHz Turbo max , 32Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI A520M-A PRO mATX - Carte graphique: MSI GeForce RTX 5050 8G SHADOW 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilo Auto RGB - Alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2069,,En arrivage,POWERED-BY-MSI-ADVANCED
62977,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go RTX 5050 8G,VIKING-5500-5050,"Processeur: AMD Ryzen™ 5 5500 ( 3,6 GHz up to 4,2 GHz Turbo max , 16Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI B450M-A PRO MAX II - Carte graphique: MSI GeForce RTX 5050 8G SHADOW 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilos Auto RGB - Bloc d'alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2199,,Sur commande 48h,MYTEK
51299,Pc de Bureau Gamer MYTEK AMD RYZEN 5 32G MSI RTX 3050 VENTUS 2X XS 8G OC,VIKING-5500-3050-32G-1T,"Processeur: AMD Ryzen™ 5 5500 ( 3.6 GHz up to 4.2 GHz Turbo max , 16Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M.2 NVME Gen4x4 1To R2350-W1700 - Carte mère: MSI B450M-A PRO MAX II - Carte graphique: MSI GEFORCE RTX 3050 VENTUS 2X XS 8G OC - Boîtier GAMER MSI MAG FORGE 120A AIRFLOW ATX 6 ventilos Auto RGB - Alimentation MSI MAG A500DN 500W 80+Standard - Dimensions: 411,6 x 210 x 498 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2209,,En stock,POWERED-BY-MSI-ADVANCED
62847,Pc de Bureau Gamer MYTEK i5 12è Gén 16G RTX 5050 8G,VIKING-12400-5050,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5050 8G SHADOW 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilos Auto RGB - Bloc d'alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2229,,En arrivage,POWERED-BY-MSI-ADVANCED
62983,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G RTX 5050 8G,VIKING-5500-5050-1T,"Processeur: AMD Ryzen™ 5 5500 ( 3,6 GHz up to 4,2 GHz Turbo max , 16Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 1To R3600-W3000 - Carte mère: MSI B450M-A PRO MAX II - Carte graphique: MSI GeForce RTX 5050 8G SHADOW 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilos Auto RGB - Bloc d'alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2299,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
62944,Pc de Bureau Gamer MYTEK i5 14è Gén 16G RTX 5050 8G,VIKING-14400-5050,"Processeur: Intel Core i5 14400F (Up to 4.7 GHz Turbo max , 20Mo Mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5050 8G SHADOW 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilos Auto RGB - Bloc d'alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2319,,Sur commande 48h,MYTEK
62850,Pc de Bureau Gamer MYTEK i5 12è Gén 16Go RTX 5050 8G,VIKING-12400-5050-1T,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go (2 X 8Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 1To R3600-W3000 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5050 8G SHADOW 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilos Auto RGB - Bloc d'alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2329,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
